EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
35918;CHIPA CALABRESA BISTEK;35918-1;999;50;166;16;3,9;9,7;3,6;0;0;0;0;0;122
11724;CHIPA CALABRESA BISTEK kg;11724-2;4;40;130;14;3,1;68;2,2;0;0;0;0;0;305
11264;CHIPA CONGELADA BISTEK KG;11264-0;60;50;168,5;19;3,7;9,5;2,5;0;0;0;0;0;336,5
11265;CHIPA CONGELADA MACA/CANELA BI;11265-8;60;50;141;15;3;7,5;4;0;0;0,3;0;0;258
11261;CHIPA CONGELADA PRES/QUEIJO BI;11261-5;60;50;145;13;5;8;4;0;0;0;0;0;258
35869;CHIPA GOIABADA BISTEK;35869-0;999;50;161;17;3,6;8,6;3,2;1,7;0;0;0;0;89
11266;CHIPA MACA/CANELA BISTEK KG;11266-6;2;50;141;15;3;8;4;0;0;0,3;0;0;258
6202;CHIPA P KG;6202-2;999;60;187;26;0,4;8,1;2,3;0;0;0,4;0;0;367
11267;CHIPA PRES/QUEIJO BISTEK KG;11267-4;2;50;145;13;5;8;4;0;0;0;0;0;258
35919;CHIPA S/ RECHEIO BISTEK;35919-0;999;50;163;16;3,7;9,5;3,5;1,9;0;0;0;0;98
8734;CHIPA TRADICIONAL BISTEK kg;8734-3;4;50;115;5,5;27;9;2,5;0;0;0;0;0;300,8
11291;CHOCOIRIS MINNAS ORIGENS kg;11291-7;10;30;450;63;3;20;4;0;0;1;0;0;90
3000030740645;CHOCOLATE CASTANHA C/PASSAS 1;307406-4;20;25;204;18;2,5;13;0;0;0;1;0;0;22
330;CHOCOLATO CASTANHA  BISTEK 400;330-1;999;80;288;35;6;6;8;0;0;0;0;0;130
3359;CHOCOLATO FATIADO BISTEK kg;3359-6;15;80;288;35;6;14;8;0;0;0;0;0;130
303;CHOCOLATO FLORESTA NEGRA BISTE;303-4;999;80;260;34;6;11;8;0;0;0;0;0;130
3000030603902;CHOCOLATO GOTAS CHOC.BISTEK 40;306039-0;20;80;326;42;10;18;10;0;0;1;0;0;840
11061;CHOCOLATO GOTAS CHOC.IND. 400g;11061-2;20;80;326;42;10;17;10;0;0;2;0;0;840
11060;CHOCOLATO MINI BISTEK 100g;11060-4;30;80;326;42;10;18;10;0;0;2;0;0;840
561051;CHOCOLATO MINI BISTEK 100g;130871-8;999;80;326;42;10;18;10;0;0;2;0;0;840
3000030603735;CHOCOLATO MINI BISTEK 100G;306037-3;20;80;326;42;10;18;10;0;0;1;0;0;840
130874;CHOCOLATTO BISTEK 400G CHOC. C;130874-2;999;50;178;30;4,1;5;0,5;0;0;0,7;0;0;119
569880;CHOCOLATTO GOTAS CHOC. BISTEK;130878-5;998;80;327;42;10;18;10;0;0;2;0;0;840
3130;CHOCOTONE C/COB.DE CHOCOLATE B;3130-5;21;80;285;48;6;8;1;0;0;2;0;0;190
3000030665689;CHOCOTONE C/COBERTURA CHOC.PAS;306656-8;30;80;321;43;5,5;13;6;0;0;1,3;0;0;128
